1783625750,1000000000
1783646405,1000000000
1783682699,1000000000
1783706945,1000000000
1783754650,1000000000
1783784010,1000000000
1783801971,999846566
1783842650,999845799
1783870802,999845785
1783877501,999845785
1783878179,999845785
1783878493,999845785
1783884114,999779118
1783888105,999778685
1783943008,999778683
1783946585,999778683
1783966797,999778683
1784013898,999778683
1784047453,999778683
1784064802,999778683
1784074722,999778683
1784100660,999778633
1784121534,999778633
1784134379,999778623
